date,close
2023-01-01,20015.15
2023-01-02,19844.04
2023-01-03,21585.21
2023-01-04,20105.82
2023-01-05,21017.5
2023-01-06,21324.12
2023-01-07,20084.83
2023-01-08,20675.57
2023-01-09,20744.8
2023-01-10,21854.65
2023-01-11,22077.83
2023-01-12,22455.48
2023-01-13,21585.54
2023-01-14,21675.68
2023-01-15,21156.76
2023-01-16,22392.9
2023-01-17,21532.13
2023-01-18,21004.3
2023-01-19,21429.21
2023-01-20,21616.55
2023-01-21,21988.62
2023-01-22,21527.86
2023-01-23,21259.84
2023-01-24,21402.29
2023-01-25,20764.4
2023-01-26,21522.31
2023-01-27,21151.88
2023-01-28,20787.69
2023-01-29,20262.58
2023-01-30,20466.79
2023-01-31,20424.59
2023-02-01,20899.0
2023-02-02,21300.78
2023-02-03,20423.06
2023-02-04,21797.99
2023-02-05,21328.77
2023-02-06,20773.75
2023-02-07,20344.91
2023-02-08,21415.75
2023-02-09,20963.9
2023-02-10,20626.3
2023-02-11,22153.04
2023-02-12,21504.45
2023-02-13,21251.17
2023-02-14,21114.41
2023-02-15,22224.09
2023-02-16,21335.89
2023-02-17,21554.66
2023-02-18,21698.68
2023-02-19,22130.42
2023-02-20,21761.68
2023-02-21,22277.38
2023-02-22,21622.58
2023-02-23,22545.4
2023-02-24,22431.13
2023-02-25,21949.35
2023-02-26,22603.02
2023-02-27,22739.37
2023-02-28,21774.78
2023-03-01,22370.55
2023-03-02,23349.75
2023-03-03,22921.57
2023-03-04,22512.73
2023-03-05,21306.28
2023-03-06,22812.96
2023-03-07,22975.04
2023-03-08,23171.12
2023-03-09,23133.77
2023-03-10,22495.3
2023-03-11,23108.14
2023-03-12,21972.13
2023-03-13,21941.76
2023-03-14,21319.3
2023-03-15,21802.77
2023-03-16,20942.99
2023-03-17,20951.01
2023-03-18,21344.11
2023-03-19,21323.02
2023-03-20,20698.3
2023-03-21,20675.04
2023-03-22,20855.0
2023-03-23,20665.88
2023-03-24,20507.57
2023-03-25,21448.78
2023-03-26,20417.44
2023-03-27,20492.75
2023-03-28,20089.25
2023-03-29,19666.17
2023-03-30,20320.47
2023-03-31,19829.08
2023-04-01,18706.52
2023-04-02,19598.22
2023-04-03,19365.61
2023-04-04,19841.56
2023-04-05,19628.38
2023-04-06,19376.5
2023-04-07,19968.68
2023-04-08,20214.53
2023-04-09,20726.02
2023-04-10,19211.34
2023-04-11,19281.03
2023-04-12,20055.51
2023-04-13,20509.13
2023-04-14,19927.34
2023-04-15,19521.88
2023-04-16,19750.59
2023-04-17,19483.19
2023-04-18,19936.38
2023-04-19,20864.04
2023-04-20,19669.15
2023-04-21,20238.81
2023-04-22,19953.55
2023-04-23,20446.89
2023-04-24,20037.31
2023-04-25,19977.75
2023-04-26,19795.56
2023-04-27,20002.29
2023-04-28,19318.38
2023-04-29,20033.75
2023-04-30,19485.64
2023-05-01,18480.97
2023-05-02,18746.16
2023-05-03,18226.46
2023-05-04,18084.76
2023-05-05,18594.63
2023-05-06,18205.43
2023-05-07,18209.6
2023-05-08,18464.92
2023-05-09,18558.81
2023-05-10,18104.89
2023-05-11,18321.79
2023-05-12,16905.3
2023-05-13,16701.74
2023-05-14,17582.45
2023-05-15,18238.64
2023-05-16,17043.71
2023-05-17,16977.65
2023-05-18,16686.62
2023-05-19,17612.17
2023-05-20,17631.64
2023-05-21,17704.27
2023-05-22,17956.43
2023-05-23,17118.51
2023-05-24,18157.78
2023-05-25,16510.88
2023-05-26,17561.37
2023-05-27,17625.23
